Supplier_Name,V_Price,V_Turnover,V_Shelf
Tanoodle,0.24561403508771928,0.13737373737373737,0.2026578073089701
Tekfly,0.20175438596491224,0.012121212121212123,0.15033222591362128
Thoughtblab,0.017543859649122806,0.022222222222222223,0.19102990033222592
Topdrive,0.0,0.2,0.1852159468438538
Topicblab,0.2807017543859649,0.044444444444444446,0.4676079734219269
Topicshots,0.27368421052631575,0.051515151515151514,0.16569767441860464
Topicstorm,0.25438596491228066,0.11111111111111112,0.11794019933554817
Topicware,0.18421052631578944,0.1878787878787879,0.25
Trilia,0.10526315789473684,0.1575757575757576,0.32558139534883723
Trudoo,0.017543859649122806,0.10505050505050506,0.13953488372093023
Twimm,0.2807017543859649,0.17575757575757578,0.02823920265780731
Vinder,0.14035087719298245,0.06666666666666667,0.28820598006644516
Voomm,0.12280701754385964,0.1393939393939394,0.3106312292358804
Voonder,0.14035087719298245,0.19393939393939397,0.0
Wikibox,0.287719298245614,0.16363636363636366,0.32059800664451826
Wikivu,0.1368421052631579,0.1878787878787879,0.3014950166112957
Wordware,0.1333333333333333,0.06666666666666667,0.27325581395348836
Yodo,0.19298245614035087,0.010101010101010102,0.17524916943521596
Youtags,0.2631578947368421,0.12525252525252525,0.11461794019933555
Yoveo,0.0,0.05050505050505051,0.15780730897009967
Zava,0.28947368421052627,0.0787878787878788,0.26578073089701
Zazio,0.13157894736842105,0.12121212121212122,0.2898671096345515
Zooxo,0.2807017543859649,0.03838383838383838,0.2425249169435216
